[2021-04-27 17:43:24.387005]	Отправка числа: 1045168116 
[2021-04-27 17:43:24.634005]	Получен ответ: b'R' 
[2021-04-27 17:43:24.635006]	Отправка числа: 1045299187 
[2021-04-27 17:43:24.875004]	Получен ответ: b'L' 
[2021-04-27 17:43:24.875004]	Отправка числа: 1045233651 
[2021-04-27 17:43:25.117004]	Получен ответ: b'N' 
[2021-04-27 17:43:25.118006]	Отправка числа: 1045233652 
[2021-04-27 17:43:25.371011]	Получен ответ: b'N' 
[2021-04-27 17:43:25.372053]	Отправка числа: 1045233650 
[2021-04-27 17:43:25.604006]	Получен ответ: b'N' 
[2021-04-27 17:43:25.605006]	Отправка числа: 1045233653 
[2021-04-27 17:43:25.838005]	Получен ответ: b'N' 
[2021-04-27 17:43:25.839005]	Отправка числа: 1045233649 
[2021-04-27 17:43:26.071006]	Получен ответ: b'N' 
[2021-04-27 17:43:26.071006]	Отправка числа: 1045233654 
[2021-04-27 17:43:26.299004]	Получен ответ: b'N' 
[2021-04-27 17:43:26.300005]	Отправка числа: 1045233648 
[2021-04-27 17:43:26.524006]	Получен ответ: b'N' 
[2021-04-27 17:43:26.525005]	Отправка числа: 1045233655 
